condition	GO_enrichment	concord	compound	SGTC_ID	SGTC_ID.BP	signature	type	drug
NIBR_1,10-phenanthroline:50uM	NIBR_1,10-phenanthroline:50uM	no GO enrichment							1,10-phenanthroline
NIBR_2-deoxy-d-glucose:300uM	NIBR_2-deoxy-d-glucose:300uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_2-deoxy-d-glucose_300_2019-09-16-15-54-52_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_2-deoxy-d-glucose_300</a>	0.76	phenothiazine	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_112>SGTC_112</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_112.BP>SGTC_112.BP</a>	unfolded protein response	major	2-deoxy-d-glucose
NIBR_2-deoxy-d-glucose:500uM	NIBR_2-deoxy-d-glucose:500uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_2-deoxy-d-glucose_500_2019-09-16-15-54-54_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_2-deoxy-d-glucose_500</a>	0.6	3788-1495	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_531>SGTC_531</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_531.BP>SGTC_531.BP</a>	unfolded protein response	major	2-deoxy-d-glucose
UBC_5-fluorocytosine:377nM	UBC_5-fluorocytosine:377nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_5-fluorocytosineA_2019-09-16-15-54-57_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_5-fluorocytosineA</a>	0.84	5-fluorocytosine	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1077>SGTC_1077</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1077.BP>SGTC_1077.BP</a>	exosome	major	5-fluorocytosine
UBC_5-fluorocytosine:1.06uM	UBC_5-fluorocytosine:1.06uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_5-fluorocytosineB_2019-09-16-15-55-01_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_5-fluorocytosineB</a>	0.84	5-fluorouracil	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_423>SGTC_423</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_423.BP>SGTC_423.BP</a>	exosome	major	5-fluorocytosine
UBC_5-fluorouracil:457uM	UBC_5-fluorouracil:457uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_5-fluorouracil_2019-09-16-15-55-04_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_5-fluorouracil</a>	0.86	5-fluorouracil	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_423>SGTC_423</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_423.BP>SGTC_423.BP</a>	exosome	major	5-fluorouracil
NIBR_5-fluorouracil:6.898uM	NIBR_5-fluorouracil:6.898uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_5-fluorouracil_6.898_2019-09-16-15-55-08_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_5-fluorouracil_6.898</a>	0.74	carmofur	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1074>SGTC_1074</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1074.BP>SGTC_1074.BP</a>	exosome	major	5-fluorouracil
NIBR_6-azauracil:200uM	NIBR_6-azauracil:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_6-azauracil_200_2019-09-16-15-55-12_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_6-azauracil_200</a>	0.67	5664817	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2470>SGTC_2470</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2470.BP>SGTC_2470.BP</a>	104	minor	6-azauracil
UBC_6-azauridine:81.6uM	UBC_6-azauridine:81.6uM	no GO enrichment							6-azauridine
NIBR_6-azauridine|A:200uM	NIBR_6-azauridine|A:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_6-azauridine_200_2019-09-16-15-55-17_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_6-azauridine_200</a>	0.5	5664817	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2470>SGTC_2470</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2470.BP>SGTC_2470.BP</a>	104	minor	6-azauridine
NIBR_6-azauridine|B:200uM	NIBR_6-azauridine|B:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_6-azauridine_200.1_2019-09-16-15-55-19_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_6-azauridine_200.1</a>	0.73	amphotericin b	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1872>SGTC_1872</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1872.BP>SGTC_1872.BP</a>	RNA pol III & RNase P/MRP	major	6-azauridine
UBC_aclarubicin:5.55uM	UBC_aclarubicin:5.55uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_aclarubicin_2019-09-16-15-55-22_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_aclarubicin</a>	0.86	aclarubicin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2738>SGTC_2738</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2738.BP>SGTC_2738.BP</a>	RNA pol III & RNase P/MRP	major	aclarubicin
NIBR_aclarubicin:4.857uM	NIBR_aclarubicin:4.857uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_aclarubicin_4.857_2019-09-16-15-55-25_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_aclarubicin_4.857</a>	0.54	mitomycin C	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2677>SGTC_2677</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2677.BP>SGTC_2677.BP</a>	DNA damage response	major	aclarubicin
NIBR_alamathecin:11.89uM	NIBR_alamathecin:11.89uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_alamathecin_11.89_2019-09-16-15-55-28_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_alamathecin_11.89</a>	0.48	5884133	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2399>SGTC_2399</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2399.BP>SGTC_2399.BP</a>	cell wall signaling	major	alamathecin
NIBR_alamathecin:3.086uM	NIBR_alamathecin:3.086uM	no GO enrichment							alamathecin
UBC_amiodarone:5.07uM	UBC_amiodarone:5.07uM	no GO enrichment							amiodarone
UBC_amiodarone:34.4uM	UBC_amiodarone:34.4uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_amiodaroneB_2019-09-16-15-55-36_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_amiodaroneB</a>	0.58	amiodarone	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_439>SGTC_439</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_439.BP>SGTC_439.BP</a>	NEO1-PIK1	major	amiodarone
NIBR_amiodarone:13.43uM	NIBR_amiodarone:13.43uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_amiodarone_13.43_2019-09-16-15-55-40_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_amiodarone_13.43</a>	0.35	0329-0193	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_52>SGTC_52</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_52.BP>SGTC_52.BP</a>	TSC3-RPN4	major	amiodarone
NIBR_amiodarone:13.434uM	NIBR_amiodarone:13.434uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_amiodarone_13.434_2019-09-16-15-55-44_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_amiodarone_13.434</a>	0.72	st003705	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1621>SGTC_1621</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1621.BP>SGTC_1621.BP</a>	calcium & mitochondrial duress	major	amiodarone
NIBR_amitriptyline:50uM	NIBR_amitriptyline:50uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_amitriptyline_50_2019-09-16-15-55-48_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_amitriptyline_50</a>	0.63	0136-0228	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_748>SGTC_748</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_748.BP>SGTC_748.BP</a>	redox potentiating	major	amitriptyline
NIBR_an2690:0.5uM	NIBR_an2690:0.5uM	no GO enrichment							an2690
UBC_anisomycin:9.56uM	UBC_anisomycin:9.56uM	no GO enrichment							anisomycin
UBC_anisomycin:6.25uM	UBC_anisomycin:6.25uM	no GO enrichment							anisomycin
NIBR_anisomycin:10uM	NIBR_anisomycin:10uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_anisomycin_10_2019-09-16-15-56-00_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_anisomycin_10</a>	0.6	atorvastatin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2648>SGTC_2648</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2648.BP>SGTC_2648.BP</a>	azole & statin	major	anisomycin
NIBR_antibiotic x-206:1uM	NIBR_antibiotic x-206:1uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_antibioticx-206_1_2019-09-16-15-56-03_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_antibioticx-206_1</a>	0.49	nigericin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_459>SGTC_459</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_459.BP>SGTC_459.BP</a>	4	minor	antibioticx-206
