name	site	target	counts	exps	overall	all_exps	SGD
NIBR_1219:18uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1221|A:200uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1222:2.8uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1223|A:200uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1223|B:200uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1226:13uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1230:60uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1236:8uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1241:10uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1242:30uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1245:20uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1248:20uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_13:80uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1465:49.622uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1467:26.992uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1515:1.217uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1525:10.41uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1526:2.8uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1526:3.34uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1527:0.4uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1529:11.155uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1534:30.421uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_1557:3.675uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_2682:82uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_2686:0.1uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_2686:0.2uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_305:168.631uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_5216:130uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_539:2uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_5755:5uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_606:160uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_624:45uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_859:120uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_859:140uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_859:160uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_859:200uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_clotrimazole:0.471uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_cyproconazole:0.28uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_cytochalasin:0.5uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_fluconazole:30uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
NIBR_voriconazole:0.53uM	NIBR	ERG11	41	1	48	1	<a href=https://www.yeastgenome.org/locus/ERG11>ERG11</a>
