gene	cluster	count	score	site	signature
GCS1	1	4	12.66	NIBR & UBC	GCS1
RCY1	1	4	5.7	NIBR & UBC	GCS1
CDC50	1	4	4.68	NIBR & UBC	GCS1
YPT31	1	4	3.74	NIBR & UBC	GCS1
ERG11	2	22	22.99	NIBR	ERG11-GCN
DAP1	2	22	10.79	NIBR	ERG11-GCN
TVP18	2	22	9.62	NIBR	ERG11-GCN
GCS1	2	22	8.41	NIBR	ERG11-GCN
YHR045W	2	22	7.68	NIBR	ERG11-GCN
PDR16	2	22	6.52	NIBR	ERG11-GCN
LAA1	2	22	5.49	NIBR	ERG11-GCN
GCN2	2	22	5.4	NIBR	ERG11-GCN
UPC2	2	22	5.04	NIBR	ERG11-GCN
GCN4	2	22	4.96	NIBR	ERG11-GCN
MIL1	2	22	4.61	NIBR	ERG11-GCN
GYP1	2	22	4.3	NIBR	ERG11-GCN
PSD2	2	22	4.06	NIBR	ERG11-GCN
GCN3	2	22	3.95	NIBR	ERG11-GCN
HMG1	2	22	3.93	NIBR	ERG11-GCN
PTR2	2	22	3.89	NIBR	ERG11-GCN
YGL117W	2	22	3.65	NIBR	ERG11-GCN
ARO3	2	22	3.62	NIBR	ERG11-GCN
NCP1	2	22	3.34	NIBR	ERG11-GCN
INP51	2	22	3.2	NIBR	ERG11-GCN
YPT31	2	22	3.13	NIBR	ERG11-GCN
SPT3	2	22	3.1	NIBR	ERG11-GCN
TIM54	3	34	8.15	NIBR	TIM54
LAA1	3	34	7.45	NIBR	TIM54
VPS38	3	34	7.26	NIBR	TIM54
PEP8	3	34	7.19	NIBR	TIM54
VPS29	3	34	6.8	NIBR	TIM54
VPS74	3	34	6.58	NIBR	TIM54
VPS30	3	34	6.46	NIBR	TIM54
VPS35	3	34	6.06	NIBR	TIM54
CKB2	3	34	5.68	NIBR	TIM54
MNL2	3	34	5.41	NIBR	TIM54
VPS36	3	34	5	NIBR	TIM54
YGL199C	3	34	4.88	NIBR	TIM54
TRS33	3	34	4.86	NIBR	TIM54
VPS28	3	34	4.61	NIBR	TIM54
STP22	3	34	4.61	NIBR	TIM54
NEO1	3	34	4.59	NIBR	TIM54
SNF8	3	34	4.51	NIBR	TIM54
TVP23	3	34	4.45	NIBR	TIM54
SNX3	3	34	4.39	NIBR	TIM54
CKB1	3	34	4.33	NIBR	TIM54
ERV14	3	34	4.16	NIBR	TIM54
VPS20	3	34	3.87	NIBR	TIM54
GGA2	3	34	3.78	NIBR	TIM54
VPS3	3	34	3.74	NIBR	TIM54
RRT2	3	34	3.61	NIBR	TIM54
PEP7	3	34	3.6	NIBR	TIM54
MRX6	3	34	3.43	NIBR	TIM54
SWH1	3	34	3.35	NIBR	TIM54
RAM1	3	34	3.33	NIBR	TIM54
GYP1	3	34	3.33	NIBR	TIM54
PEP12	3	34	3.27	NIBR	TIM54
NHX1	3	34	3.27	NIBR	TIM54
TCA17	3	34	3.2	NIBR	TIM54
YDR455C	3	34	3.1	NIBR	TIM54
TVP23	4	8	6.48	NIBR	TVP23
YGL199C	4	8	6.26	NIBR	TVP23
TRS33	4	8	6.03	NIBR	TVP23
YIP4	4	8	5.14	NIBR	TVP23
TCA17	4	8	4.57	NIBR	TVP23
VPS74	4	8	4.45	NIBR	TVP23
YIP5	4	8	4.44	NIBR	TVP23
TRS65	4	8	3.31	NIBR	TVP23
NEO1	5	28	28.17	UBC	NEO1
RCY1	5	28	8.97	UBC	NEO1
VPS35	5	28	6.34	UBC	NEO1
CKB2	5	28	6.32	UBC	NEO1
CKB1	5	28	6.09	UBC	NEO1
RAM1	5	28	5.82	UBC	NEO1
PEP8	5	28	5.65	UBC	NEO1
PIK1	5	28	5.64	UBC	NEO1
YDR455C	5	28	5.44	UBC	NEO1
ERG2	5	28	4.65	UBC	NEO1
